,ra,dec,redshift,plate,fiberid,PCA_1,PCA_2,PCA_3,class
0,0.6938322733353389,0.07402547292978771,0.0007702735428619058,0.3732809430255402,0.4904904904904905,0.38588626905416235,0.06934794703719013,0.38768534943580046,2
1,0.6940976404072507,0.07464220698407241,0.000761699432172782,0.006999017681728878,0.5405405405405406,0.4481096106594876,0.21526380172190995,0.4155564841443294,2
2,0.6944215554391002,0.07451910989151772,0.023749069361378536,0.0025785854616895906,0.5125125125125125,0.5189642633366989,0.1545111499030719,0.4909592458328301,0
3,0.695174860570302,0.07348732751294898,0.0007513007567014012,0.3732809430255402,0.5095095095095096,0.3887845491349863,0.2796384435358718,0.4528520543253251,2
4,0.6952253610108107,0.07419948361311439,0.0008821283599248948,0.3732809430255402,0.5115115115115115,0.4171027412066533,0.35761339896065036,0.3539182363302828,2
5,0.6950824170063244,0.07516177661604242,0.000830662419155006,0.007121807465618864,0.5935935935935936,0.5937347063565922,0.22155163007876383,0.42006081245239335,2
6,0.6951505169427711,0.0730719062561242,0.019480883032721434,0.0025785854616895906,0.5585585585585586,0.4838234818555595,0.13345217328873216,0.472878718823783,0
7,0.6952918290407746,0.07534817028569567,0.0008307081452568527,0.3732809430255402,0.5145145145145146,0.5145103843153743,0.21669466794819273,0.4409192433903578,2
8,0.6953888295146077,0.0741276408355087,0.0007885751818295919,0.006999017681728878,0.5945945945945946,0.4369787488619347,0.29600963375243067,0.4587230329469091,2
9,0.6955824148663956,0.07391634260660579,0.008332267762739968,0.0027013752455795695,0.3993993993993994,0.5163111966268179,0.2578419241702401,0.4502749073766232,0
10,0.6956049631197317,0.07465184906705341,0.0007654881663257905,0.3732809430255402,0.5055055055055055,0.4996991152871151,0.1697112351684093,0.4175863922212491,2
11,0.696025057724603,0.07432871301038403,0.0008881785764292338,0.3732809430255402,0.5465465465465466,0.472945996704231,0.20595184515850515,0.43560163151677966,2
12,0.6960914216576946,0.07540278813589507,0.0007821548638560206,0.3732809430255402,0.5435435435435435,0.549423200937861,0.1749624257831639,0.4045053795781822,2
13,0.6963226208113147,0.07383544605931043,0.0007734949000777152,0.3732809430255402,0.5455455455455456,0.4842619596044479,0.12715784954102327,0.3953640718090379,2
14,0.6964376561672441,0.07415789702879763,0.014226125261592917,0.0027013752455795695,0.3883883883883884,0.4375522954376493,0.11486504264440064,0.4766384420639922,0
15,0.6970751913273256,0.07561541754012299,0.051525473914847374,0.0025785854616895906,0.5865865865865866,0.5984277688174955,0.28492711817122796,0.546239648067091,1
16,0.6965651981884753,0.07344734769446294,0.0008111347607463785,0.007121807465618864,0.03403403403403404,0.570103045104962,0.25757629824118816,0.4037825597283399,2
17,0.696659665506478,0.07549404508978771,0.2206487994172056,0.0025785854616895906,0.5825825825825826,0.6854502213577309,0.2961416119853697,0.49274900324519233,1
18,0.6972264801012452,0.07373591416669886,0.0008167570182648628,0.006999017681728878,0.6276276276276277,0.46841649153074627,0.17910322631063696,0.420063180215935,2
19,0.6971950115771354,0.07517027992166449,0.014353915718468039,0.0025785854616895906,0.6316316316316316,0.41286332854453306,0.28109351572889696,0.4991172736088806,0
20,0.6975351431601616,0.07432675560490776,0.0007215130942241359,0.007121807465618864,0.6226226226226227,0.5944785220050336,0.2255132724866336,0.4251999011727329,2
21,0.6979410726742733,0.07466664331135991,0.0007653201928904355,0.0027013752455795695,0.42942942942942947,0.37852214846458576,0.30644614442784024,0.44818154957435213,2
22,0.6982765551247394,0.07447160700548976,0.17344365414481827,0.0027013752455795695,0.42042042042042044,0.6228434560859194,0.2800990283398518,0.4563740565174943,1
23,0.6982948619252817,0.07497565993020085,0.0007727502178476411,0.2814341846758349,0.3553553553553554,0.45114362683450165,0.22054252079535105,0.4213078964791783,2
24,0.6977329711521599,0.07478105809229627,0.000788369880964158,0.3732809430255402,0.5945945945945946,0.597222776706694,0.25980747319511155,0.3927480881924756,2
